organism	database_plasmids_ncbi	database_plasmids_mob
Streptococcus pyogenes	8	0
Streptococcus salivarius	2	0
Streptococcus suis	2	0
Streptococcus thermophilus	16	0
Streptomyces albulus	2	0
Streptomyces ambofaciens	1	0
Streptomyces anulatus	1	0
Streptomyces avermitilis	1	0
Streptomyces cattleya	2	0
Streptomyces clavuligerus	6	0
Streptomyces coelicolor	3	0
Streptomyces collinus	2	0
Streptomyces cyaneus	1	0
Streptomyces davaonensis	1	0
Streptomyces flavovirens	1	0
Streptomyces glaucescens	1	0
Streptomyces hygroscopicus	4	0
Streptomyces incarnatus	3	0
Streptomyces laurentii	1	0
Streptomyces lavendulae	2	0
Streptomyces leeuwenhoekii	2	0
Streptomyces lividans	2	0
Streptomyces natalensis	1	0
Streptomyces niveus	4	0
Streptomyces phaeochromogenes	1	0
Streptomyces pratensis	2	0
Streptomyces rochei	2	0
Streptomyces roseochromogenus	1	0
Streptomyces sp.	33	0
Streptomyces venezuelae	1	0
Streptomyces vietnamensis	1	0
Streptomyces violaceoruber	1	0
Streptomyces violaceusniger	2	0
Streptomyces viridosporus	1	0
Streptosporangium roseum	1	0
Sulfitobacter guttiformis	3	0
Sulfitobacter sp.	1	0
Sulfobacillus acidophilus	1	0
Sulfobacillus thermotolerans	2	0
Sulfolobus islandicus	13	0
Sulfolobus neozealandicus	1	0
Sulfolobus solfataricus	3	0
Sulfolobus sp.	1	0
Sulfolobus tengchongensis	1	0
Sulfuricella denitrificans	1	0
Sulfuricurvum kujiense	4	0
Synechococcus elongatus	3	0
Synechococcus sp.	12	0
Synechocystis sp.	14	0
Tatumella citrea	1	0
Tatumella morbirosei	2	0
Terribacillus aidingensis	1	0
Tetragenococcus halophilus	8	0
Tetragenococcus muriaticus	3	0
Thalassospira xiamenensis	1	0
Thanatephorus cucumeris	1	0
Thauera sp.	1	0
Thermoanaerobacterium saccharolyticum	1	0
Thermoanaerobacterium thermosaccharolyticum	2	0
Thermobacillus composti	1	0
Thermococcus barophilus	1	0
Thermococcus eurythermalis	1	0
Thermococcus nautili	3	0
Thermococcus prieurii	2	0
Thermococcus sp.	7	0
Thermofilum pendens	1	0
Thermomicrobium roseum	1	0
Thermoplasma acidophilum	1	0
Thermotoga petrophila	1	0
Thermotoga sp.	1	0
Thermovibrio ammonificans	1	0
Thermovirga lienii	1	0
Thermus oshimai	2	0
Thermus scotoductus	1	0
Thermus sp.	5	0
Thermus thermophilus	9	0
Thioalkalivibrio sp.	1	0
Thioflavicoccus mobilis	1	0
Thiolapillus brandeum	2	0
Thiomonas arsenitoxydans	1	0
Thiomonas intermedia	2	0
Tistrella mobilis	4	0
Tomato big	1	0
Treponema denticola	1	0
Treponema putidum	1	0
Treponema succinifaciens	1	0
Trichoderma harzianum	1	0
Trichormus variabilis	4	0
Trueperella pyogenes	2	0
Tsukamurella paurometabola	1	0
Turneriella parva	1	0
Variovorax sp.	1	0
Veillonella sp.	2	0
Verminephrobacter eiseniae	1	0
Verrucosispora maris	1	0
Vibrio alginolyticus	1	0
Vibrio anguillarum	4	0
Vibrio campbellii	2	0
Vibrio cholerae	10	0
Vibrio cincinnatiensis	1	0
Vibrio coralliilyticus	4	0
Vibrio fluvialis	1	0
Vibrio harveyi	1	0
Vibrio nigripulchritudo	3	0
Vibrio parahaemolyticus	8	0
Vibrio shilonii	1	0
Vibrio sp.	6	0
Vibrio tapetis	1	0
Vibrio tubiashii	4	0
Vibrio vulnificus	7	0
Vicia faba	1	0
Virgibacillus sp.	3	0
Waddlia chondrophila	1	0
Weissella cibaria	4	0
Weissella koreensis	1	0
Wenxinia marina	1	0
Wheat blue	3	0
Wigglesworthia glossinidia	1	0
Xanthobacter autotrophicus	1	0
Xanthomonas albilineans	3	0
Xanthomonas arboricola	1	0
Xanthomonas axonopodis	3	0
Xanthomonas campestris	23	0
Xanthomonas cassavae	1	0
Xanthomonas citri	62	0
Xanthomonas euvesicatoria	5	0
Xanthomonas oryzae	1	0
Xanthomonas sacchari	1	0
Xanthomonas translucens	1	0
Xenorhabdus bovienii	1	0
Xenorhabdus doucetiae	1	0
Xenorhabdus nematophila	2	0
Xylanimonas cellulosilytica	1	0
Xylella fastidiosa	15	0
Yersinia enterocolitica	16	0
Yersinia frederiksenii	2	0
Yersinia pestis	109	0
Yersinia pseudotuberculosis	12	0
Yersinia ruckeri	1	0
Yersinia similis	1	0
Zygosaccharomyces bailii	1	0
Zymomonas mobilis	43	0
[Bacillus thuringiensis]	1	0
[Eubacterium] eligens	2	0
[Haemophilus] ducreyi	1	0
[Pasteurella] aerogenes	4	0
alpha proteobacterium	1	0
archaeon enrichment	1	0
bacterium 36B	1	0
bacterium 72B	1	0
bacterium enrichment	3	0
endophytic bacterium	1	0
halophilic archaeon	2	0
uncultured Termite	3	0
uncultured bacterium	9	0
uncultured eubacterium	1	0
uncultured marine	1	0
