#Organism Name	Organism Groups	Strain	BioSample	BioProject	Size(Mb)	GC%	Replicons	CDS	Neighbors	Release Date	Assembly	Genes	Modify Date	tRNA
Acetobacter oryzifermentans	Bacteria;Proteobacteria;Alphaproteobacteria	SLV-7	SAMN03437041	PRJNA279108	0.116245	51.5308	unnamed2:NZ_CP011122.1/CP011122.1	99	0	2016-04-25T00:00:00Z	GCA_001628715.1	123	2017-04-12T00:00:00Z	0
Acetobacter oryzifermentans	Bacteria;Proteobacteria;Alphaproteobacteria	SLV-7	SAMN03437041	PRJNA279108	0.02529	55.8679	unnamed3:NZ_CP011123.1/CP011123.1	30	0	2016-04-25T00:00:00Z	GCA_001628715.1	34	2017-04-12T00:00:00Z	0
Acetobacter pasteurianus	Bacteria;Proteobacteria;Alphaproteobacteria			PRJNA178864	0.00144	57.4306	pAP12875:NC_004991.1/U20550.1	2	0	2003-07-07T00:00:00Z		2	2014-12-18T00:00:00Z	0
Acetobacter pasteurianus	Bacteria;Proteobacteria;Alphaproteobacteria			PRJNA178864	0.004484	51.1597	pAP2:NC_007293.1/AM055747.1	1	0	2005-08-04T00:00:00Z		1	2014-12-18T00:00:00Z	0
Acetobacter pasteurianus	Bacteria;Proteobacteria;Alphaproteobacteria			PRJNA178864	0.002446	29.5585	pGR7:NC_010177.2/AM922326.2	3	0	2007-12-19T00:00:00Z		3	2014-12-16T00:00:00Z	0
Acetobacter pasteurianus	Bacteria;Proteobacteria;Alphaproteobacteria			PRJNA178864	0.020898	51.8853	pAC258-26:NC_019327.1/JQ418524.1	32	0	2012-11-04T00:00:00Z		32	2014-12-17T00:00:00Z	0
Acetobacter pasteurianus	Bacteria;Proteobacteria;Alphaproteobacteria			PRJNA178864	0.030498	50.7115	pAC258-29:NC_019337.1/JQ418523.1	42	0	2012-11-04T00:00:00Z		42	2014-12-17T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B	SAMEA3139047	PRJEB1172	0.19478	52.0094	Apa386Bp1:NC_021976.1/HF677571.1	178	0	2013-08-01T00:00:00Z	GCA_000723785.1	210	2017-04-02T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B	SAMEA3139047	PRJEB1172	0.011105	52.2828	Apa386Bp4:NC_021977.1/HF677574.1	12	0	2013-08-01T00:00:00Z	GCA_000723785.1	14	2017-04-02T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B	SAMEA3139047	PRJEB1172	0.006548	51.7868	Apa386Bp6:NC_021978.1/	8	0	2013-08-01T00:00:00Z	GCA_000723785.1	10	2017-04-02T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B	SAMEA3139047	PRJEB1172	0.003851	47.0267	Apa386Bp7:NC_021979.1/HF677577.1	3	0	2013-08-01T00:00:00Z	GCA_000723785.1	3	2017-04-02T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B	SAMEA3139047	PRJEB1172	0.015601	55.4708	Apa386Bp3:NC_021992.1/HF677573.1	15	0	2013-08-01T00:00:00Z	GCA_000723785.1	17	2017-04-02T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B	SAMEA3139047	PRJEB1172	0.009914	50.7464	Apa386Bp5:NC_021993.1/	8	0	2013-08-01T00:00:00Z	GCA_000723785.1	12	2017-04-02T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B		PRJEB1172	0.19478	52.0094	Apa386Bp1:NZ_HF677571.1/	185	0	2015-01-21T00:00:00Z	GCA_000723785.1	197	2015-03-19T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B	SAMEA3139047	PRJEB1172	0.018169	55.5672	Apa386Bp2:NZ_HF677572.1/HF677572.1	21	0	2013-08-01T00:00:00Z	GCA_000723785.1	23	2017-04-02T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B		PRJEB1172	0.015601	55.4708	Apa386Bp3:NZ_HF677573.1/	14	0	2015-01-21T00:00:00Z	GCA_000723785.1	16	2015-03-19T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B		PRJEB1172	0.011105	52.2828	Apa386Bp4:NZ_HF677574.1/	12	0	2015-01-21T00:00:00Z	GCA_000723785.1	13	2015-03-19T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B		PRJEB1172	0.009914	50.7464	Apa386Bp5:NZ_HF677575.1/HF677575.1	11	0	2015-01-21T00:00:00Z	GCA_000723785.1	11	2015-03-19T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B		PRJEB1172	0.006548	51.7868	Apa386Bp6:NZ_HF677576.1/HF677576.1	9	0	2015-01-21T00:00:00Z	GCA_000723785.1	9	2015-03-19T00:00:00Z	0
Acetobacter pasteurianus 386B	Bacteria;Proteobacteria;Alphaproteobacteria	386B		PRJEB1172	0.003851	47.0267	Apa386Bp7:NZ_HF677577.1/	2	0	2015-01-21T00:00:00Z	GCA_000723785.1	2	2015-03-19T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-01	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-01	SAMD00060943	PRJDA31129	0.191799	53.3621	pAPA01-011:NC_013210.1/AP011122.1	155	0	2009-09-14T00:00:00Z	GCA_000010825.1	193	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-01	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-01	SAMD00060943	PRJDA31129	0.18294	53.4968	pAPA01-020:NC_013211.1/AP011123.1	134	0	2009-09-14T00:00:00Z	GCA_000010825.1	172	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-01	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-01	SAMD00060943	PRJDA31129	0.049961	53.882	pAPA01-030:NC_013212.1/AP011124.1	55	0	2009-09-14T00:00:00Z	GCA_000010825.1	60	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-01	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-01	SAMD00060943	PRJDA31129	0.003204	53.7453	pAPA01-040:NC_013213.1/AP011125.1	4	0	2009-09-14T00:00:00Z	GCA_000010825.1	4	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-01	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-01	SAMD00060943	PRJDA31129	0.003035	55.7825	pAPA01-050:NC_013214.1/AP011126.1	3	0	2009-09-14T00:00:00Z	GCA_000010825.1	3	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-01	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-01	SAMD00060943	PRJDA31129	0.001815	58.5675	pAPA01-060:NC_013215.1/AP011127.1	1	0	2009-09-14T00:00:00Z	GCA_000010825.1	1	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-01-42C	SAMD00060949	PRJDA31141	0.191799	53.3621	pAPA42C_011:NC_017104.1/AP011164.1	155	0	2012-04-12T00:00:00Z	GCA_000010945.1	193	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-01-42C	SAMD00060949	PRJDA31141	0.18294	53.4968	pAPA42C_020:NC_017105.1/AP011165.1	134	0	2012-04-12T00:00:00Z	GCA_000010945.1	172	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-01-42C	SAMD00060949	PRJDA31141	0.003204	53.7453	pAPA42C_040:NC_017106.1/AP011167.1	4	0	2012-04-12T00:00:00Z	GCA_000010945.1	4	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-01-42C	SAMD00060949	PRJDA31141	0.003035	55.7825	pAPA42C_050:NC_017107.1/AP011168.1	3	0	2012-04-12T00:00:00Z	GCA_000010945.1	3	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-01-42C	SAMD00060949	PRJDA31141	0.049961	53.882	pAPA42C_030:NC_017151.1/AP011166.1	55	0	2012-04-12T00:00:00Z	GCA_000010945.1	60	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-01-42C	SAMD00060949	PRJDA31141	0.001815	58.5675	pAPA42C_060:NC_017152.1/AP011169.1	1	0	2012-04-12T00:00:00Z	GCA_000010945.1	1	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-03	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-03	SAMD00060944	PRJDA31131	0.191427	53.366	pAPA03-010:NC_017101.1/AP011129.1	154	0	2012-04-11T00:00:00Z	GCA_000010845.1	192	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-03	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-03	SAMD00060944	PRJDA31131	0.001815	58.5675	pAPA03-060:NC_017109.1/AP011134.1	1	0	2012-04-11T00:00:00Z	GCA_000010845.1	1	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-03	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-03	SAMD00060944	PRJDA31131	0.18294	53.4968	pAPA03-020:NC_017118.1/AP011130.1	134	0	2012-04-11T00:00:00Z	GCA_000010845.1	172	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-03	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-03	SAMD00060944	PRJDA31131	0.049961	53.882	pAPA03-030:NC_017119.1/AP011131.1	55	0	2012-04-11T00:00:00Z	GCA_000010845.1	60	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-03	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-03	SAMD00060944	PRJDA31131	0.003035	55.7825	pAPA03-050:NC_017120.1/AP011133.1	3	0	2012-04-11T00:00:00Z	GCA_000010845.1	3	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-03	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-03	SAMD00060944	PRJDA31131	0.003204	53.7453	pAPA03-040:NC_017142.1/AP011132.1	4	0	2012-04-11T00:00:00Z	GCA_000010845.1	4	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-07	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-07	SAMD00060945	PRJDA31133	0.049961	53.882	pAPA07-030:NC_017110.1/AP011138.1	55	0	2012-04-11T00:00:00Z	GCA_000010865.1	60	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-07	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-07	SAMD00060945	PRJDA31133	0.18294	53.4968	pAPA07-020:NC_017122.1/AP011137.1	134	0	2012-04-11T00:00:00Z	GCA_000010865.1	172	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-07	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-07	SAMD00060945	PRJDA31133	0.003204	53.7453	pAPA07-040:NC_017123.1/AP011139.1	4	0	2012-04-11T00:00:00Z	GCA_000010865.1	4	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-07	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-07	SAMD00060945	PRJDA31133	0.001815	58.5675	pAPA07-060:NC_017124.1/AP011141.1	1	0	2012-04-11T00:00:00Z	GCA_000010865.1	1	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-07	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-07	SAMD00060945	PRJDA31133	0.191427	53.366	pAPA07-010:NC_017143.1/AP011136.1	154	0	2012-04-11T00:00:00Z	GCA_000010865.1	192	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-07	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-07	SAMD00060945	PRJDA31133	0.003035	55.7825	pAPA07-050:NC_017144.1/AP011140.1	3	0	2012-04-11T00:00:00Z	GCA_000010865.1	3	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-12	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-12	SAMD00061107	PRJNA32203	0.18294	53.4968	pAPA12-020:NC_017113.1/AP011172.1	134	0	2012-04-11T00:00:00Z	GCA_000010965.1	172	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-12	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-12	SAMD00061107	PRJNA32203	0.049961	53.882	pAPA12-030:NC_017114.1/AP011173.1	55	0	2012-04-11T00:00:00Z	GCA_000010965.1	60	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-12	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-12	SAMD00061107	PRJNA32203	0.003204	53.7453	pAPA12-040:NC_017115.1/AP011174.1	4	0	2012-04-11T00:00:00Z	GCA_000010965.1	4	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-12	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-12	SAMD00061107	PRJNA32203	0.003035	55.7825	pAPA12-050:NC_017116.1/AP011175.1	3	0	2012-04-11T00:00:00Z	GCA_000010965.1	3	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-12	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-12	SAMD00061107	PRJNA32203	0.191411	53.3663	pAPA12-014:NC_017136.1/AP011171.1	154	0	2012-04-11T00:00:00Z	GCA_000010965.1	192	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-12	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-12	SAMD00061107	PRJNA32203	0.001815	58.5675	pAPA12-060:NC_017137.1/AP011176.1	1	0	2012-04-11T00:00:00Z	GCA_000010965.1	1	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-22	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-22	SAMD00060946	PRJDA31135	0.191427	53.366	pAPA22-010:NC_017117.1/AP011143.1	154	0	2012-04-11T00:00:00Z	GCA_000010885.1	192	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-22	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-22	SAMD00060946	PRJDA31135	0.18294	53.4968	pAPA22-020:NC_017126.1/AP011144.1	134	0	2012-04-11T00:00:00Z	GCA_000010885.1	172	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-22	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-22	SAMD00060946	PRJDA31135	0.049961	53.882	pAPA22-030:NC_017127.1/AP011145.1	55	0	2012-04-11T00:00:00Z	GCA_000010885.1	60	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-22	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-22	SAMD00060946	PRJDA31135	0.003035	55.7825	pAPA22-050:NC_017128.1/AP011147.1	3	0	2012-04-11T00:00:00Z	GCA_000010885.1	3	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-22	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-22	SAMD00060946	PRJDA31135	0.001815	58.5675	pAPA22-060:NC_017129.1/AP011148.1	1	0	2012-04-11T00:00:00Z	GCA_000010885.1	1	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-22	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-22	SAMD00060946	PRJDA31135	0.003204	53.7453	pAPA22-040:NC_017145.1/AP011146.1	4	0	2012-04-11T00:00:00Z	GCA_000010885.1	4	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-26	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-26	SAMD00060947	PRJDA31137	0.191419	53.3662	pAPA26-013:NC_017130.1/AP011150.1	153	0	2012-04-11T00:00:00Z	GCA_000010905.1	191	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-26	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-26	SAMD00060947	PRJDA31137	0.18294	53.4968	pAPA26-020:NC_017131.1/AP011151.1	134	0	2012-04-11T00:00:00Z	GCA_000010905.1	172	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-26	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-26	SAMD00060947	PRJDA31137	0.003204	53.7453	pAPA26-040:NC_017132.1/AP011153.1	4	0	2012-04-11T00:00:00Z	GCA_000010905.1	4	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-26	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-26	SAMD00060947	PRJDA31137	0.001815	58.5675	pAPA26-060:NC_017133.1/AP011155.1	1	0	2012-04-11T00:00:00Z	GCA_000010905.1	1	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-26	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-26	SAMD00060947	PRJDA31137	0.049961	53.882	pAPA26-030:NC_017147.1/AP011152.1	55	0	2012-04-11T00:00:00Z	GCA_000010905.1	60	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-26	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-26	SAMD00060947	PRJDA31137	0.003035	55.7825	pAPA26-050:NC_017148.1/AP011154.1	3	0	2012-04-11T00:00:00Z	GCA_000010905.1	3	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-32	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-32	SAMD00060948	PRJDA31139	0.003204	53.7453	pAPA32-040:NC_017102.1/AP011160.1	4	0	2012-04-11T00:00:00Z	GCA_000010925.1	4	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-32	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-32	SAMD00060948	PRJDA31139	0.003035	55.7825	pAPA32-050:NC_017103.1/AP011161.1	3	0	2012-04-11T00:00:00Z	GCA_000010925.1	3	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-32	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-32	SAMD00060948	PRJDA31139	0.001815	58.5675	pAPA32-060:NC_017112.1/AP011162.1	1	0	2012-04-11T00:00:00Z	GCA_000010925.1	1	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-32	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-32	SAMD00060948	PRJDA31139	0.191443	53.3658	pAPA32-012:NC_017134.1/AP011157.1	154	0	2012-04-11T00:00:00Z	GCA_000010925.1	192	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-32	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-32	SAMD00060948	PRJDA31139	0.049961	53.882	pAPA32-030:NC_017135.1/AP011159.1	55	0	2012-04-11T00:00:00Z	GCA_000010925.1	60	2017-04-10T00:00:00Z	0
Acetobacter pasteurianus IFO 3283-32	Bacteria;Proteobacteria;Alphaproteobacteria	IFO 3283 substr. IFO 3283-32	SAMD00060948	PRJDA31139	0.18294	53.4968	pAPA32-020:NC_017149.1/AP011158.1	134	0	2012-04-11T00:00:00Z	GCA_000010925.1	172	2017-04-10T00:00:00Z	0
